category,keyword,count
Active Life,the,206
Active Life,and,128
Active Life,room,69
Active Life,was,62
Active Life,this,48
Active Life,escape,44
Active Life,with,41
Active Life,but,40
Active Life,for,38
Active Life,were,35
American (New),the,1252
American (New),and,887
American (New),was,526
American (New),for,323
American (New),with,234
American (New),that,205
American (New),but,184
American (New),this,183
American (New),food,175
American (New),had,175
American (Traditional),the,1731
American (Traditional),and,1258
American (Traditional),was,828
American (Traditional),for,361
American (Traditional),had,291
American (Traditional),but,277
American (Traditional),with,270
American (Traditional),they,263
American (Traditional),food,262
American (Traditional),this,255
Amusement Parks,the,136
Amusement Parks,and,112
Amusement Parks,was,46
Amusement Parks,for,44
Amusement Parks,that,34
Amusement Parks,were,33
Amusement Parks,not,28
Amusement Parks,they,28
Amusement Parks,but,25
Amusement Parks,kids,24
Arts & Entertainment,and,51
Arts & Entertainment,the,48
Arts & Entertainment,there,21
Arts & Entertainment,for,17
Arts & Entertainment,they,15
Arts & Entertainment,you,14
Arts & Entertainment,this,14
Arts & Entertainment,was,13
Arts & Entertainment,but,13
Arts & Entertainment,with,12
Asian Fusion,the,407
Asian Fusion,and,302
Asian Fusion,was,148
Asian Fusion,food,105
Asian Fusion,for,105
Asian Fusion,they,84
Asian Fusion,this,77
Asian Fusion,with,72
Asian Fusion,not,70
Asian Fusion,you,67
Automotive,the,2429
Automotive,and,1786
Automotive,was,782
Automotive,for,639
Automotive,that,462
Automotive,they,444
Automotive,but,420
Automotive,with,414
Automotive,you,398
Automotive,food,394
Bagels,the,44
Bagels,and,44
Bagels,bagel,32
Bagels,was,26
Bagels,for,20
Bagels,this,18
Bagels,but,17
Bagels,breakfast,14
Bagels,not,12
Bagels,place,12
Bakeries,and,55
Bakeries,the,53
Bakeries,that,16
Bakeries,you,15
Bakeries,was,14
Bakeries,this,13
Bakeries,place,13
Bakeries,but,13
Bakeries,for,12
Bakeries,cuban,11
Barbeque,the,411
Barbeque,and,246
Barbeque,was,141
Barbeque,for,89
Barbeque,that,86
Barbeque,but,75
Barbeque,with,63
Barbeque,you,59
Barbeque,this,56
Barbeque,they,54
Barbers,the,304
Barbers,and,244
Barbers,was,104
Barbers,for,79
Barbers,you,70
Barbers,this,58
Barbers,hair,58
Barbers,that,58
Barbers,with,56
Barbers,they,54
Bars,the,32063
Bars,and,20083
Bars,was,12801
Bars,for,6661
Bars,with,4710
Bars,but,4632
Bars,had,4493
Bars,that,4436
Bars,you,4416
Bars,were,4199
Beauty & Spas,the,167
Beauty & Spas,and,157
Beauty & Spas,was,86
Beauty & Spas,for,59
Beauty & Spas,cut,55
Beauty & Spas,barber,50
Beauty & Spas,this,46
Beauty & Spas,great,39
Beauty & Spas,hair,37
Beauty & Spas,haircut,36
Beer,the,1507
Beer,and,1181
Beer,beer,402
Beer,was,397
Beer,they,376
Beer,for,376
Beer,you,369
Beer,that,296
Beer,this,281
Beer,but,269
Breakfast & Brunch,the,2955
Breakfast & Brunch,and,2225
Breakfast & Brunch,was,992
Breakfast & Brunch,for,658
Breakfast & Brunch,with,508
Breakfast & Brunch,but,464
Breakfast & Brunch,they,463
Breakfast & Brunch,this,457
Breakfast & Brunch,that,426
Breakfast & Brunch,food,410
Breweries,the,56
Breweries,and,35
Breweries,you,16
Breweries,food,16
Breweries,they,15
Breweries,with,14
Breweries,that,14
Breweries,was,12
Breweries,beer,11
Breweries,this,11
Buffets,the,114
Buffets,and,111
Buffets,was,55
Buffets,for,36
Buffets,food,34
Buffets,not,28
Buffets,buffet,28
Buffets,that,24
Buffets,you,23
Buffets,this,22
Burgers,the,5822
Burgers,and,3776
Burgers,was,1995
Burgers,for,1349
Burgers,but,1047
Burgers,with,917
Burgers,that,917
Burgers,they,893
Burgers,burger,891
Burgers,you,855
Cajun/Creole,the,1573
Cajun/Creole,and,1026
Cajun/Creole,was,670
Cajun/Creole,for,325
Cajun/Creole,with,247
Cajun/Creole,were,233
Cajun/Creole,but,228
Cajun/Creole,that,224
Cajun/Creole,seafood,220
Cajun/Creole,this,219
Caribbean,the,76
Caribbean,and,56
Caribbean,was,21
Caribbean,you,15
Caribbean,were,12
Caribbean,had,11
Caribbean,chicken,11
Caribbean,that,11
Caribbean,pepper,10
Caribbean,jerk,10
Caterers,the,71
Caterers,and,50
Caterers,they,27
Caterers,for,13
Caterers,with,12
Caterers,was,12
Caterers,their,11
Caterers,sandwich,11
