category,keyword,count
Active Life,room,95
Active Life,escape,46
Active Life,puzzle,35
Active Life,one,21
Active Life,group,19
Active Life,would,18
Active Life,game,17
Active Life,experience,17
Active Life,clue,16
Active Life,fun,16
American (New),good,162
American (New),great,91
American (New),pasta,81
American (New),dinner,77
American (New),salad,76
American (New),like,74
American (New),one,69
American (New),meal,69
American (New),ricardo,56
American (New),dessert,56
American (Traditional),good,244
American (Traditional),great,206
American (Traditional),back,122
American (Traditional),like,98
American (Traditional),ordered,85
American (Traditional),get,84
American (Traditional),really,83
American (Traditional),chicken,82
American (Traditional),would,79
American (Traditional),bar,79
Amusement Parks,game,27
Amusement Parks,kid,24
Amusement Parks,tag,23
Amusement Parks,laser,21
Amusement Parks,birthday,14
Amusement Parks,party,14
Amusement Parks,great,12
Amusement Parks,would,11
Amusement Parks,fun,11
Amusement Parks,like,11
Arts & Entertainment,coffee,9
Arts & Entertainment,cafe,8
Arts & Entertainment,back,8
Arts & Entertainment,computer,8
Arts & Entertainment,naked,7
Arts & Entertainment,internet,7
Arts & Entertainment,stage,7
Arts & Entertainment,great,6
Arts & Entertainment,hour,6
Arts & Entertainment,open,6
Asian Fusion,good,54
Asian Fusion,thai,43
Asian Fusion,back,38
Asian Fusion,pad,31
Asian Fusion,chicken,30
Asian Fusion,like,28
Asian Fusion,asian,27
Asian Fusion,one,27
Asian Fusion,get,27
Asian Fusion,drum,26
Automotive,burger,497
Automotive,beer,414
Automotive,great,347
Automotive,good,345
Automotive,fry,259
Automotive,bar,211
Automotive,back,192
Automotive,one,189
Automotive,get,187
Automotive,like,171
Bagels,bagel,39
Bagels,breakfast,14
Bagels,sandwich,9
Bagels,coffee,9
Bagels,shop,9
Bagels,ordered,8
Bagels,new,7
Bagels,friendly,7
Bagels,good,7
Bagels,cheese,7
Bakeries,sandwich,12
Bakeries,cuban,11
Bakeries,good,9
Bakeries,cake,9
Bakeries,bakery,9
Bakeries,tres,8
Bakeries,lot,8
Bakeries,lech,7
Bakeries,norma,7
Bakeries,never,6
Barbeque,chicken,42
Barbeque,good,39
Barbeque,sauce,35
Barbeque,korean,35
Barbeque,dish,34
Barbeque,side,32
Barbeque,one,31
Barbeque,rib,30
Barbeque,bbq,30
Barbeque,like,29
Barbers,hair,58
Barbers,cut,48
Barbers,barber,41
Barbers,haircut,39
Barbers,great,36
Barbers,get,35
Barbers,shop,32
Barbers,school,30
Barbers,student,28
Barbers,like,27
Bars,good,3298
Bars,great,2776
Bars,shrimp,2422
Bars,tour,2049
Bars,beer,2035
Bars,one,1744
Bars,get,1683
Bars,would,1585
Bars,like,1563
Bars,back,1497
Beauty & Spas,cut,62
Beauty & Spas,barber,58
Beauty & Spas,haircut,39
Beauty & Spas,hair,39
Beauty & Spas,great,39
Beauty & Spas,shop,25
Beauty & Spas,marco,24
Beauty & Spas,like,21
Beauty & Spas,first,19
Beauty & Spas,anna,19
Beer,beer,568
Beer,great,238
Beer,selection,218
Beer,good,156
Beer,dog,156
Beer,like,132
Beer,get,130
Beer,one,121
Beer,also,110
Beer,store,101
Breakfast & Brunch,coffee,408
Breakfast & Brunch,good,368
Breakfast & Brunch,great,334
Breakfast & Brunch,breakfast,240
Breakfast & Brunch,pancake,220
Breakfast & Brunch,like,209
Breakfast & Brunch,get,199
Breakfast & Brunch,one,193
Breakfast & Brunch,back,165
Breakfast & Brunch,crepe,154
Breweries,beer,16
Breweries,new,9
Breweries,delicious,8
Breweries,really,8
Breweries,patty,7
Breweries,melt,7
Breweries,inside,7
Breweries,orleans,7
Breweries,port,6
Breweries,brewery,6
Buffets,buffet,30
Buffets,chicken,20
Buffets,good,19
Buffets,always,13
Buffets,beef,13
Buffets,chinese,12
Buffets,like,12
Buffets,fried,10
Buffets,nice,9
Buffets,get,9
Burgers,burger,1242
Burgers,good,751
Burgers,great,539
Burgers,fry,508
Burgers,like,450
Burgers,one,366
Burgers,get,365
Burgers,back,292
Burgers,really,267
Burgers,would,260
Cajun/Creole,seafood,220
Cajun/Creole,crab,170
Cajun/Creole,good,146
